Task ID,Task,Phase,Milestone,Workstream,Type,Priority,Status,Story Points,Depends On,Source Project,License Handling,Deliverable,Acceptance,Codex Execution Note
CIV-001,Create GPL repository skeleton,P0,M0,Governance,Engineering,P0,Not Started,3,,Original,Original,Create GPL repository skeleton,"LICENSE, AGENTS, TASKS and docs exist.",Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-002,Audit exact versions and NeoForge intersection,P0,M0,Dependencies,Engineering,P0,Not Started,8,,All,GPL adaptation + provenance,Audit exact versions and NeoForge intersection,One reproducible dependency set is documented.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-003,Map release artifacts to immutable source commits,P0,M0,Legal,Engineering,P0,Not Started,8,,All,GPL adaptation + provenance,Map release artifacts to immutable source commits,Every mandatory jar maps to source.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-004,Create THIRD_PARTY_NOTICES and license matrix,P0,M0,Legal,Engineering,P0,Not Started,5,,All,GPL adaptation + provenance,Create THIRD_PARTY_NOTICES and license matrix,"Notices distinguish code, assets and trademarks.",Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-005,Create code adaptation manifest tooling,P0,M0,Tooling,Engineering,P0,Not Started,5,,All,GPL adaptation + provenance,Create code adaptation manifest tooling,Every copied file is machine-traceable.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-006,Create forbidden-asset and missing-header CI scans,P0,M0,Legal,Engineering,P0,Not Started,8,,All,GPL adaptation + provenance,Create forbidden-asset and missing-header CI scans,CI blocks unapproved assets and orphaned derivatives.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-007,Define upstream update/re-audit process,P0,M0,Governance,Engineering,P1,Not Started,3,,All,GPL adaptation + provenance,Define upstream update/re-audit process,Dependency updates trigger compatibility gates.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-008,Initialize NeoForge 1.21.1 Java 21 project,P1,M1,Build,Engineering,P0,Not Started,5,,Original,Original,Initialize NeoForge 1.21.1 Java 21 project,Project compiles with standard runs.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-009,Resolve Immersive EGO dependency set,P1,M1,Dependencies,Engineering,P0,Not Started,5,,Immersive EGO,Runtime API only,Resolve Immersive EGO dependency set,EGO and its transitive dependencies resolve.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-010,Resolve MineColonies and five dependencies,P1,M1,Dependencies,Engineering,P0,Not Started,8,,MineColonies,GPL adaptation + provenance,Resolve MineColonies and five dependencies,All MineColonies runtime dependencies load.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-011,Resolve MCA Reborn NeoForge dependency,P1,M1,Dependencies,Engineering,P0,Not Started,5,,MCA Reborn,GPL adaptation + provenance,Resolve MCA Reborn NeoForge dependency,MCA source and runtime resolve.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-012,Resolve Modern Companions artifact/source mismatch,P1,M1,Dependencies,Engineering,P0,Not Started,8,,Modern Companions,GPL adaptation + provenance,Resolve Modern Companions artifact/source mismatch,Runtime jar maps to verified source commit.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-013,Create client smoke run,P1,M1,Testing,Engineering,P0,Not Started,3,,All,GPL adaptation + provenance,Create client smoke run,Client reaches title screen.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-014,Create dedicated-server smoke run,P1,M1,Testing,Engineering,P0,Not Started,5,,All,GPL adaptation + provenance,Create dedicated-server smoke run,Server starts without client-only classloading.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-015,Create CI build/test/provenance workflow,P1,M1,CI,Engineering,P1,Not Started,5,,Original,Original,Create CI build/test/provenance workflow,Build and governance checks run automatically.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-016,Document required EgoSubject API,P2,M1,API,Engineering,P0,Not Started,5,,Immersive EGO,Runtime API only,Document required EgoSubject API,Neutral NPC API contract is explicit.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-017,Verify external subject registration and snapshots,P2,M1,API,Engineering,P0,Not Started,5,,Immersive EGO,Runtime API only,Verify external subject registration and snapshots,CIVITAS can resolve supported NPCs.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-018,Implement CivitasEgoFacade,P2,M1,API,Engineering,P0,Not Started,5,,Original,Original,Implement CivitasEgoFacade,All EGO calls are isolated.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-019,Implement bounded EGO snapshot cache,P2,M1,Performance,Engineering,P1,Not Started,5,,Original,Original,Implement bounded EGO snapshot cache,Work/combat avoids hot repeated calls.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-020,Implement minimum-version diagnostics,P2,M1,Diagnostics,Engineering,P1,Not Started,3,,Original,Original,Implement minimum-version diagnostics,Missing API fails clearly.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-021,Create MIT/GPL boundary scan,P2,M1,Legal,Engineering,P0,Not Started,3,,Original,Original,Create MIT/GPL boundary scan,No CIVITAS GPL package enters EGO repository.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-022,Define UnifiedResidentRecord and codec,P3,M2,Resident,Engineering,P0,Not Started,8,,Original,Original,Define UnifiedResidentRecord and codec,Record serializes and validates.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-023,Define ResidentHostAdapter interface,P3,M2,Resident,Engineering,P0,Not Started,5,,Original,Original,Define ResidentHostAdapter interface,Hosts share a stable contract.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-024,Implement host detection and priority,P3,M2,Resident,Engineering,P0,Not Started,5,,Original,Original,Implement host detection and priority,Exactly one primary adapter is chosen.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-025,Implement UUID/external-ID repair,P3,M2,Resident,Engineering,P0,Not Started,8,,Original,Original,Implement UUID/external-ID repair,Stale and duplicate links repair safely.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-026,Implement resident SavedData index,P3,M2,Persistence,Engineering,P0,Not Started,8,,Original,Original,Implement resident SavedData index,Unloaded residents remain resolvable.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-027,Implement host attachment reference,P3,M2,Persistence,Engineering,P0,Not Started,5,,Original,Original,Implement host attachment reference,Loaded hosts point to canonical record.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-028,Implement simulation tiers,P3,M2,Performance,Engineering,P1,Not Started,5,,Original,Original,Implement simulation tiers,Near/far/unloaded/aggregate tiers are deterministic.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-029,Implement resident dossier debug command,P3,M2,Diagnostics,Engineering,P1,Not Started,3,,Original,Original,Implement resident dossier debug command,Authorities and links are inspectable.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-030,Audit MineColonies civic and worker packages,P4,M3,MineColonies,Engineering,P0,Not Started,13,,MineColonies,GPL adaptation + provenance,Audit MineColonies civic and worker packages,Direct-use vs adaptation map exists.,Inspect pinned upstream source first; update provenance; build and test before completion.
